"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","보완_소득5분위코드","보완_소득10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","보완_경상소득","보완_처분가능소득","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2018,010200261,1127.90792346468,G2,1,2,79,G5,2,5,G2,Q1,D01,Q1,D01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,723,722,,,,,,,,,,,
2018,010200371,2223.77506181041,G1,1,4,55,G4,2,1,G1,Q5,D10,Q5,D09,59022,8082,0,0,50940,50000,23000,27000,500,500,0,0,0,500,0,500,0,8371,8100,271,58522,30038,27986,,,,,,,,,,,
2018,010201191,701.090030536248,G1,1,4,54,G4,2,1,G1,Q5,D10,Q5,D10,222550,6050,0,0,216500,216000,80000,136000,121200,16200,15000,15000,0,1000,1000,0,0,3170,2200,970,101350,18180,12047,,,,,,,,,,,
2018,010201211,1140.45089948982,G2,2,1,83,G5,3,2,G2,Q1,D01,Q1,D02,4516,4516,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4516,442,441,,,,,,,,,,,
2018,010201241,1436.60537147709,G2,1,4,41,G3,2,1,G1,Q4,D08,Q5,D10,79011,13911,0,0,65100,62500,50000,12500,450,200,0,0,0,0,0,0,0,10000,10000,0,78561,7562,6361,,,,,,,,,,,
2018,010201331,2394.07550459393,G1,1,4,46,G3,2,1,G1,Q5,D09,Q5,D09,105752,6502,200,0,99250,99000,44000,43000,43200,41000,38000,0,38000,3000,0,3000,0,1521,150,1371,62552,10867,8441,,,,,,,,,,,
2018,010201361,2374.35858348047,G1,2,2,65,G5,3,3,G1,Q2,D03,Q3,D05,50000,8400,0,2000,41600,37000,0,37000,30200,200,0,0,0,0,0,0,0,3490,3400,90,19800,2221,1969,,,,,,,,,,,
2018,010202191,2450.84035400997,G1,1,4,53,G4,2,1,G1,Q4,D07,Q3,D05,27540,2690,0,0,24850,24600,24600,0,10250,250,0,0,0,0,0,0,0,0,0,0,17290,5626,4846,,,,,,,,,,,
2018,010202311,1565.87612742387,G1,2,3,46,G3,4,3,G1,Q1,D02,Q1,D02,1657,1657,0,1475,0,0,0,0,50,50,0,0,0,0,0,0,0,400,400,0,1607,1100,1011,,,,,,,,,,,
2018,010203171,1611.08653713674,G1,2,1,70,G5,3,1,G1,Q2,D04,Q5,D09,64304,3304,0,0,61000,61000,61000,0,2800,0,0,0,0,0,0,0,0,0,0,0,61504,3194,2984,,,,,,,,,,,
2018,010204131,1809.02619239645,G1,1,4,37,G2,2,1,G1,Q3,D05,Q2,D04,29845,2356,971,0,27489,27000,27000,0,16810,16810,16000,16000,0,760,760,0,0,1672,1240,432,13035,4173,3354,,,,,,,,,,,
2018,010300121,656.931634085889,G1,2,3,30,G2,2,1,G1,Q4,D08,Q2,D04,33555,205,0,0,33350,33000,33000,0,20340,20340,20000,20000,0,0,0,0,0,180,0,180,13215,7537,6323,,,,,,,,,,,
2018,010300351,1774.66768421305,G1,1,4,38,G2,2,2,G2,Q3,D05,Q3,D06,24050,23050,0,20000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24050,4071,3743,,1,1,2,2,2,,,,,
2018,010400111,1055.74341156828,G1,2,2,34,G2,2,2,G1,Q2,D03,Q2,D03,16321,16321,0,15000,0,0,0,0,7500,7500,7500,0,0,0,0,0,0,1116,900,216,8821,2472,1775,,,,,,,,,,,
2018,010400151,1228.44985423872,G1,1,4,39,G2,2,2,G1,Q2,D04,Q4,D07,36440,31791,0,28000,4649,0,0,0,1700,1700,0,0,0,1700,1700,0,0,2410,2300,110,34740,3381,2465,30,2,1,3,1,3,4,1,2,,1
2018,010400181,1190.69002686094,G2,1,3,49,G3,2,1,G1,Q1,D02,Q5,D10,145405,17805,5500,0,127600,127000,99000,28000,2500,1500,0,0,0,0,0,0,0,0,0,0,142905,1149,866,,,,,,,,,,,
2018,010400311,421.451624697094,G1,1,3,36,G2,2,2,G1,Q5,D10,Q5,D10,87050,63050,120,44000,24000,21000,0,21000,2000,0,0,0,0,0,0,0,0,0,0,0,85050,11789,10380,,1,3,3,1,3,1,,,,
2018,010500141,3190.76689945795,G1,1,6,55,G4,2,2,G1,Q4,D08,Q4,D07,48851,10601,750,9000,38250,3000,0,3000,15110,15110,4350,0,0,4500,4500,0,0,720,572,148,33741,8206,7103,,1,1,3,1,1,,2,1,2,2
2018,010500151,1697.82147101729,G1,2,2,63,G5,3,1,G1,Q2,D04,Q5,D09,82700,10700,1000,0,72000,72000,27000,45000,7000,0,0,0,0,0,0,0,0,0,0,0,75700,2902,2667,,1,1,3,2,2,,,,,
2018,010500161,1666.32341419356,G1,1,2,83,G5,2,1,G1,Q1,D01,Q3,D05,18080,680,0,0,17400,17000,17000,0,100,0,0,0,0,0,0,0,0,0,0,0,17980,799,743,,1,1,4,2,2,,,,,
2018,010500171,2095.63456384001,G1,1,4,56,G4,2,1,G1,Q4,D07,Q3,D06,37140,1890,0,0,35250,35000,35000,0,14050,14050,14000,14000,0,0,0,0,0,1804,1356,448,23090,6341,5425,,,,,,,,,,,
2018,010500181,2719.11392641287,G1,1,5,55,G4,2,1,G1,Q3,D05,Q5,D10,118545,32845,0,0,85700,81500,36000,45500,23500,23500,23500,23500,0,0,0,0,0,4500,3800,700,95045,3990,2833,,,,,,,,,,,
2018,010500191,1113.48244116743,G1,1,3,68,G5,2,1,G1,Q2,D04,Q5,D09,68380,3380,0,0,65000,65000,45000,20000,10000,0,0,0,0,0,0,0,0,0,0,0,58380,3483,2938,,,,,,,,,,,
2018,010501201,1033.11265494833,G2,1,3,65,G5,2,3,G2,Q3,D05,Q1,D01,980,980,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,980,4350,4179,,2,1,2,1,2,,,,,
2018,010501211,1810.64689677717,G2,1,4,55,G4,2,1,G1,Q4,D07,Q5,D09,66870,1170,0,0,65700,62000,12000,50000,7760,7760,4760,4760,0,3000,0,3000,0,580,240,340,59110,5803,4626,,,,,,,,,,,
2018,010501221,1615.29468296822,G2,1,4,45,G3,2,3,G1,Q1,D02,Q2,D03,9188,8888,0,6000,300,0,0,0,4137,4137,0,0,0,0,0,0,0,30,30,0,5051,1730,1581,,,,,,,,,,,
2018,010501231,1596.50505053764,G2,1,4,49,G3,2,1,G1,Q5,D09,Q4,D08,65488,10588,0,0,54900,52000,25000,27000,15390,14390,13900,7700,6200,0,0,0,0,3057,2630,427,50098,9753,8119,,,,,,,,,,,
2018,010501241,1083.43539796997,G2,1,3,64,G5,2,1,G1,Q5,D10,Q4,D08,63532,25532,0,0,38000,25000,15000,10000,20100,13000,3000,0,0,10000,10000,0,0,10708,10000,708,43432,13574,10572,30,2,1,2,1,1,,1,2,,1
2018,010501271,1342.28725907823,G2,1,2,61,G5,2,1,G2,Q3,D05,Q4,D08,38978,3378,0,0,35600,29500,24000,5500,0,0,0,0,0,0,0,0,0,3102,3000,102,38978,3600,2473,,1,2,2,2,2,,,,,
2018,010501281,1193.12554450732,G2,1,4,65,G5,2,1,G1,Q4,D07,Q2,D04,23984,4984,0,0,19000,19000,19000,0,10860,10860,10860,10860,0,0,0,0,0,1400,1060,340,13124,5827,5146,,3,1,3,2,1,,1,2,,2
2018,010503301,1870.98317341353,G1,1,4,47,G3,2,2,G1,Q3,D06,Q4,D07,48300,32600,30,15000,15700,15000,0,0,12000,12000,0,0,0,12000,12000,0,0,0,0,0,36300,5372,4943,,1,1,3,1,2,,2,2,,2
2018,010503311,777.245494083888,G1,1,3,36,G2,2,1,G1,Q2,D03,Q3,D05,30768,3768,0,0,27000,24000,24000,0,12000,12000,12000,12000,0,0,0,0,0,30,0,30,18768,2144,1870,,3,1,3,2,1,,3,2,,2
2018,010503331,2011.69595093042,G1,2,2,72,G5,3,3,G2,Q2,D03,Q1,D02,1550,1550,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,2402,2201,,2,1,2,1,2,,,,,
2018,010503341,1911.88039266091,G1,1,4,50,G4,2,1,G1,Q4,D08,Q2,D03,43590,590,0,0,43000,43000,43000,0,35440,35440,31750,31750,0,3640,3640,0,0,784,530,254,8150,8438,7267,,3,1,2,1,1,,3,2,,3
2018,010503361,2345.7450818286,G1,1,4,41,G3,2,1,G1,Q4,D08,Q3,D05,67343,10143,350,0,57200,54000,36000,0,52614,52614,47614,30000,0,5000,5000,0,0,862,450,412,14729,7434,6025,,,,,,,,,,,
2018,010503391,685.580569397193,G1,1,2,69,G5,2,1,G1,Q5,D09,Q5,D10,193671,16900,0,0,176771,160000,30000,130000,54000,54000,47000,19000,0,7000,0,7000,0,500,500,0,139671,9420,8233,,3,1,1,2,2,,2,2,,3
2018,010600121,1840.34310250245,G1,1,1,69,G5,4,4,G2,Q2,D03,Q1,D01,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,1150,54,30,1977,1865,,3,1,2,1,1,,,,,
2018,010600141,1564.34392393437,G1,1,4,64,G5,2,1,G1,Q3,D06,Q4,D07,34350,7850,0,0,26500,25000,25000,0,4000,4000,3500,3500,0,0,0,0,0,1668,1512,156,30350,4768,3195,,3,1,1,1,3,1,3,2,,2
2018,010600171,1484.30240588601,G1,1,1,27,G1,1,3,G2,Q2,D04,Q1,D02,3400,3400,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,3000,2968,,1,1,2,1,2,,,,,
2018,010600191,1587.96656780419,G1,2,1,93,G5,3,2,G2,Q1,D01,Q1,D02,3513,3513,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,366,333,,1,1,2,2,2,,,,,
2018,010600211,816.949525667455,G2,1,1,67,G5,4,1,G1,Q2,D04,Q3,D05,34365,365,0,0,34000,34000,30000,4000,17000,7000,7000,0,0,0,0,0,0,600,0,600,17365,3586,2925,20,1,1,3,2,2,,2,2,,1
2018,010600221,926.122974120696,G2,2,1,23,G1,1,2,G1,Q2,D03,Q1,D02,5578,5523,0,5000,55,0,0,0,3500,3500,3500,0,0,0,0,0,0,87,0,87,2078,2033,1582,7,1,1,4,1,2,,2,2,,1
2018,010600241,898.865457759653,G2,2,1,81,G5,3,3,G2,Q1,D01,Q1,D02,2715,2700,0,1500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715,774,758,,1,1,4,2,2,,,,,
2018,010600271,1154.53799080256,G2,1,3,54,G4,2,1,G2,Q4,D08,Q5,D09,54337,20837,0,0,33500,33000,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,54337,7503,6555,,1,1,1,1,2,,,,,
2018,010600281,1002.49655863882,G2,1,2,59,G4,2,1,G1,Q3,D05,Q4,D07,37066,4666,0,0,32400,30000,30000,0,6000,0,0,0,0,0,0,0,0,0,0,0,31066,3686,3163,,1,1,2,2,2,,,,,
2018,010600291,1211.71582920336,G2,1,3,39,G2,2,1,G1,Q5,D09,Q5,D09,80734,9724,1950,0,71010,67310,45000,2310,19565,19400,0,0,0,19400,12000,7400,0,336,0,336,61169,9474,7229,5,1,8,4,1,1,,1,2,,1
2018,010600331,2842.77943305448,G1,1,5,45,G3,2,1,G2,Q5,D10,Q5,D09,78368,32888,9412,0,45480,41500,41500,0,0,0,0,0,0,0,0,0,0,0,0,0,78368,14863,12624,,1,8,2,2,2,,,,,
2018,010600351,1768.22420894929,G1,1,2,77,G5,2,1,G2,Q1,D02,Q3,D06,26235,6235,0,0,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,26235,1534,1462,,1,1,2,2,2,,,,,
2018,010600361,2343.7824332031,G1,1,4,52,G4,2,1,G1,Q5,D09,Q5,D09,86904,10444,1000,0,76460,76000,38000,38000,29000,4000,0,0,0,4000,0,4000,0,65,0,65,57904,10611,9553,,3,8,2,1,1,,2,2,,3
2018,010600371,1763.86162764532,G1,2,3,57,G4,2,1,G1,Q5,D09,Q5,D10,243754,5574,0,0,238180,237500,98000,139500,79900,57100,57100,40000,13600,0,0,0,0,1278,0,1278,163854,9645,7178,,3,1,4,1,2,,3,2,,3
2018,010600381,1729.08892215073,G1,2,3,52,G4,2,2,G1,Q5,D10,Q3,D06,24068,19078,0,2800,4990,2700,0,0,370,370,0,0,0,0,0,0,0,360,360,0,23698,12895,10936,40,1,1,4,2,1,,1,2,,1
2018,010601101,1219.54518576425,G1,1,2,70,G5,2,1,G1,Q2,D04,Q5,D09,70350,20350,0,0,50000,50000,50000,0,3000,0,0,0,0,0,0,0,0,0,0,0,67350,3046,3005,,,,,,,,,,,
2018,010601111,2017.5064664482,G1,1,6,42,G3,2,3,G1,Q3,D05,Q1,D01,4053,3253,0,2800,800,0,0,0,3500,3500,0,0,0,3500,3500,0,0,480,0,480,553,4034,3523,,,,,,,,,,,
2018,010601121,1216.76251678233,G1,1,2,74,G5,2,3,G2,Q1,D02,Q1,D01,540,540,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1486,1448,,,,,,,,,,,
2018,010700111,1230.63157467515,G1,1,2,34,G2,2,3,G1,Q4,D08,Q3,D05,31860,31260,9000,18000,600,0,0,0,13000,13000,13000,0,0,0,0,0,0,652,300,352,18860,8187,6216,,,,,,,,,,,
2018,010700121,1283.05999998095,G1,2,1,28,G1,1,5,G2,Q1,D02,Q1,D02,1856,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,1667,1106,,,,,,,,,,,
2018,010700141,1303.17555609035,G1,2,2,47,G3,4,3,G1,Q1,D02,Q1,D01,511,511,0,500,0,0,0,0,3337,3337,900,0,0,500,500,0,237,803,558,245,-2826,1201,931,,3,1,2,2,2,,2,2,,3
2018,010700151,1103.88126800991,G1,1,2,63,G5,2,1,G1,Q2,D04,Q3,D05,19163,1163,0,0,18000,18000,18000,0,4900,4900,1900,0,0,0,0,0,0,1440,1260,180,14263,2899,2459,,3,1,4,2,1,,1,2,,2
2018,010700181,1161.76137168452,G1,1,3,36,G2,2,3,G1,Q4,D07,Q2,D04,12672,12672,0,9000,0,0,0,0,2000,2000,0,0,0,2000,2000,0,0,48,0,48,10672,6298,5109,,2,1,4,1,1,,1,2,,2
2018,010700191,1273.84901749139,G1,1,2,67,G5,2,1,G2,Q1,D02,Q5,D10,78770,320,0,0,78450,78000,48000,30000,0,0,0,0,0,0,0,0,0,0,0,0,78770,1169,1025,,,,,,,,,,,
2018,010700211,798.137320746142,G2,2,1,60,G5,4,3,G2,Q1,D02,Q2,D03,5141,4141,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141,1216,1113,,,,,,,,,,,
2018,010700221,753.913767123059,G2,2,1,78,G5,3,5,G2,Q1,D01,Q1,D01,69,30,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,391,390,,,,,,,,,,,
2018,010700231,1219.16795867977,G2,2,3,50,G4,4,1,G1,Q3,D06,Q3,D06,26234,4684,1000,0,21550,21000,21000,0,1800,1800,1800,1800,0,0,0,0,0,224,200,24,24434,5208,4672,,,,,,,,,,,
2018,010700241,964.309961635608,G2,1,2,64,G5,2,1,G2,Q2,D04,Q4,D07,32420,3620,0,0,28800,27500,25000,2500,0,0,0,0,0,0,0,0,0,0,0,0,32420,2818,2543,,,,,,,,,,,
2018,010700251,871.022930228141,G2,2,2,58,G4,2,3,G2,Q5,D09,Q1,D02,1900,1200,0,1000,700,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,1900,9051,8862,,1,1,2,2,2,,,,,
2018,010700321,1602.53924464224,G1,2,3,66,G5,2,1,G1,Q3,D06,Q4,D07,31938,15438,800,0,16500,16500,16500,0,10,10,0,0,0,0,0,0,0,60,60,0,31928,5359,4932,,,,,,,,,,,
2018,010700331,1554.71608359513,G1,1,3,71,G5,2,1,G1,Q3,D06,Q3,D05,19898,7498,200,0,12400,12000,12000,0,1275,1275,1275,0,0,0,0,0,0,198,150,48,18623,5049,4711,,,,,,,,,,,
2018,010700341,3202.2204392483,G1,1,5,45,G3,2,2,G2,Q5,D10,Q5,D10,124970,73270,0,40000,51700,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,124970,27613,22565,,2,1,1,1,2,,,,,
2018,010700391,2114.05234591541,G1,1,3,44,G3,2,1,G1,Q3,D05,Q3,D05,30782,3882,0,0,26900,25000,25000,0,14679,14679,14600,14600,0,0,0,0,0,789,309,480,16103,4282,3592,,3,1,2,2,1,,1,2,,2
2018,010701101,778.38116766133,G1,2,3,46,G3,4,2,G2,Q1,D02,Q3,D05,18021,18021,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,18021,1826,1269,,2,1,3,1,2,,,,,
2018,010701121,1082.43636997681,G1,1,2,37,G2,2,2,G2,Q1,D01,Q3,D06,24600,24600,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24600,1048,994,,,,,,,,,,,
