"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2023,010000162,1077.906572079,G1,2,1,76,G5,3,2,G2,Q1,D02,Q2,D03,5700,5700,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,1655,1534,,1,1,3,2,2,,,,,
2023,010000182,1086.43854121,G1,1,2,61,G5,2,2,G2,Q2,D03,Q2,D04,13720,13220,0,10000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13720,2995,2570,,2,1,2,2,2,,,,,
2023,010000192,3626.894381884,G1,2,1,30,G2,1,3,G2,Q2,D03,Q1,D02,1410,1410,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,110,100,10,1410,3001,2892,,1,1,4,2,2,,,,,
2023,010000212,758.167174481,G2,2,1,73,G5,3,1,G1,Q1,D02,Q3,D05,16800,10300,0,0,6500,6500,6500,0,300,0,0,0,0,0,0,0,0,0,0,0,16500,1871,1844,,1,1,2,2,2,,,,,
2023,010000222,1404.353474859,G2,1,1,55,G4,1,1,G1,Q2,D04,Q2,D03,17000,11000,10000,0,6000,6000,6000,0,9000,9000,3000,0,0,6000,6000,0,0,178,0,178,8000,3603,2989,30,5,7,1,2,1,,3,2,,1
2023,010000262,928.191686649,G2,2,2,69,G5,2,1,G2,Q2,D03,Q5,D09,74588,8088,0,0,66500,66000,47000,19000,0,0,0,0,0,0,0,0,0,0,0,0,74588,3015,2851,,1,1,2,2,2,,,,,
2023,010000272,1543.021408898,G2,1,4,59,G4,2,1,G1,Q5,D10,Q4,D07,42610,11560,0,0,31050,29000,29000,0,50,50,0,0,0,0,0,0,0,400,400,0,42560,13929,11687,25,1,1,2,2,2,,1,2,,1
2023,010000282,2233.473799199,G2,1,5,62,G5,2,1,G1,Q5,D09,Q4,D08,142140,11640,0,0,130500,119000,29000,90000,76270,74770,74070,0,72000,700,0,700,0,4243,1333,2910,65870,12335,7685,,3,1,1,2,1,,1,2,,3
2023,010000312,2648.07126064,G1,1,5,53,G4,2,1,G2,Q5,D09,Q5,D09,96250,18450,0,0,77800,77000,67000,10000,0,0,0,0,0,0,0,0,0,0,0,0,96250,12005,10659,,1,2,2,2,2,,,,,
2023,010000332,4854.753233569,G1,2,2,30,G2,2,1,G1,Q5,D09,Q2,D04,29980,3080,2500,0,26900,25000,25000,0,15800,15800,13300,13300,0,2500,2500,0,0,10200,9200,1000,14180,11134,8386,,3,7,2,2,3,5,3,2,,2
2023,010000352,1762.150855624,G1,2,1,68,G5,3,1,G2,Q1,D01,Q3,D06,32050,3950,0,0,28100,28000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,32050,645,578,,1,1,1,2,2,,,,,
2023,010000362,1902.300680267,G1,1,2,85,G5,2,5,G2,Q1,D02,Q2,D03,6300,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,1678,1576,,1,1,4,1,2,,,,,
2023,010100112,1794.00877859,G1,1,4,49,G3,2,1,G2,Q4,D08,Q5,D09,95200,37200,16400,0,58000,58000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,95200,9124,7502,,1,2,2,1,2,,,,,
2023,010100182,680.142787131,G1,2,1,71,G5,3,1,G2,Q1,D02,Q5,D10,104070,5070,0,0,99000,99000,95000,4000,0,0,0,0,0,0,0,0,0,0,0,0,104070,1568,1447,,1,1,2,2,2,,,,,
2023,010100192,3362.339957038,G1,1,3,32,G2,1,3,G1,Q5,D09,Q4,D07,54800,8100,1080,2000,46700,43000,0,43000,17000,10000,10000,0,10000,0,0,0,0,450,0,450,37800,13117,10339,20,2,1,2,1,2,,2,2,,1
2023,010100232,794.75586345,G2,2,1,64,G5,4,3,G2,Q1,D01,Q1,D01,330,330,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1003,1003,,1,1,1,2,2,,,,,
2023,010100242,1554.746368291,G2,1,3,59,G4,2,1,G1,Q4,D07,Q4,D08,66686,1736,0,0,64950,32000,17000,0,20760,20760,15000,0,8000,0,0,0,0,3480,2940,540,45926,7947,7043,,2,1,2,1,1,,1,2,,3
2023,010100252,1670.163491919,G2,1,3,40,G3,2,1,G1,Q2,D04,Q2,D04,24321,6240,0,0,18081,16000,16000,0,12440,12440,11650,10000,0,770,770,0,0,1022,670,352,11881,3989,3370,,2,2,2,1,1,,1,2,,3
2023,010100262,435.405857872,G2,2,1,60,G5,4,1,G2,Q1,D01,Q2,D04,10950,2650,0,0,8300,8300,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,758,746,,1,1,1,2,2,,,,,
2023,010100272,1204.758774861,G2,2,1,81,G5,3,1,G1,Q1,D01,Q3,D06,26850,1300,0,0,25550,25500,21000,4500,500,0,0,0,0,0,0,0,0,0,0,0,26350,1060,894,,1,3,4,2,2,,,,,
2023,010100282,2544.533861242,G2,1,3,55,G4,2,1,G1,Q5,D10,Q4,D07,53500,11600,3500,0,41900,38000,22000,16000,16000,10000,10000,10000,0,0,0,0,0,324,0,324,37500,16424,13270,,2,3,2,1,1,,3,2,,3
2023,010100312,4633.841320151,G1,1,4,59,G4,2,1,G1,Q4,D08,Q5,D09,92030,9380,0,0,82650,80000,70000,10000,24230,17730,14630,7630,0,0,0,0,2900,4828,4028,800,67800,8694,6642,,1,8,1,1,1,,1,1,1,2
2023,010100372,1199.982097856,G1,2,3,59,G4,3,1,G1,Q4,D07,Q5,D10,120780,24930,0,0,95850,93000,85000,8000,1100,1100,0,0,0,1100,1100,0,0,0,0,0,119680,7430,6622,40,2,3,2,1,1,,1,2,,1
2023,010100382,2555.664383935,G1,1,2,65,G5,2,3,G2,Q2,D03,Q3,D05,16660,15860,0,15800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16660,2684,2454,,1,1,4,2,2,,,,,
2023,010101122,2053.693312732,G1,1,4,53,G4,2,1,G1,Q5,D10,Q5,D10,248950,31450,4000,0,217500,217000,180000,37000,40770,40770,38770,38770,0,2000,2000,0,0,4246,3115,1131,208180,14476,10239,,3,7,2,2,3,2,3,2,,2
2023,010101162,1360.190553996,G1,1,2,41,G3,1,2,G2,Q5,D09,Q5,D10,254100,24100,0,22000,230000,230000,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,254100,11303,10930,,1,1,1,1,2,,,,,
2023,010101172,2203.25680049,G1,1,3,60,G5,2,1,G1,Q4,D08,Q4,D08,48440,20740,5180,0,27700,25200,23700,1500,30,30,0,0,0,0,0,0,0,50,50,0,48410,8174,7125,10,2,1,2,1,2,,2,2,,1
2023,010101182,571.559879204,G1,1,3,67,G5,2,1,G1,Q3,D06,Q5,D10,220288,7788,3500,0,212500,210000,130000,80000,1000,0,0,0,0,0,0,0,0,0,0,0,219288,6294,5760,,2,1,2,1,2,,,,,
2023,010200132,1441.22491772,G1,1,3,51,G4,1,1,G1,Q3,D06,Q5,D09,101100,1100,0,0,100000,100000,100000,0,13000,0,0,0,0,0,0,0,0,0,0,0,88100,6071,5317,,2,1,4,1,2,,,,,
2023,010200172,795.419677496,G1,2,1,91,G5,3,1,G1,Q1,D01,Q4,D07,54333,1000,0,0,53333,53333,53333,0,18000,0,0,0,0,0,0,0,0,0,0,0,36333,1204,1103,,1,1,4,2,2,,,,,
2023,010200182,1747.676499194,G1,2,1,35,G2,1,3,G2,Q2,D03,Q2,D03,5070,5070,1600,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5070,2555,2246,,1,1,2,2,2,,,,,
2023,010200192,1713.849102613,G1,2,1,31,G2,1,3,G1,Q1,D02,Q1,D02,16360,16260,0,15000,100,0,0,0,12000,12000,10000,0,0,2000,2000,0,0,1105,730,375,4360,1458,825,40,1,1,3,1,1,,2,2,,1
2023,010200212,1015.096466935,G2,2,1,63,G5,4,1,G1,Q2,D03,Q3,D05,20500,1500,0,0,19000,19000,19000,0,4000,4000,4000,4000,0,0,0,0,0,740,596,144,16500,2538,2323,,1,1,2,2,1,,1,2,,3
2023,010200232,737.729959337,G2,2,2,71,G5,2,1,G2,Q1,D02,Q2,D03,6545,45,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,6545,2283,2101,,1,3,1,2,2,,,,,
2023,010200242,894.238407723,G2,2,1,80,G5,3,3,G2,Q1,D01,Q1,D01,532,532,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,999,919,,1,1,3,1,2,,,,,
2023,010200252,787.165193319,G2,2,1,63,G5,4,1,G2,Q2,D04,Q2,D04,10492,1064,0,0,9428,8000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,10492,3673,3507,,1,1,2,2,2,,,,,
2023,010200282,1093.614119455,G2,1,4,40,G3,2,1,G1,Q3,D05,Q3,D05,25260,2710,0,0,22550,21000,21000,0,2376,2376,2376,2376,0,0,0,0,0,190,62,128,22884,4582,3909,10,1,1,2,1,1,,1,2,,1
2023,010200312,2001.073187265,G1,1,2,68,G5,2,1,G1,Q4,D08,Q5,D09,139600,1500,0,0,138100,136000,70000,66000,43500,40000,40000,40000,0,0,0,0,0,16400,14000,2400,96100,8834,6022,30,3,1,4,1,1,,1,2,,1
2023,010200332,1848.561646937,G1,1,4,51,G4,2,3,G2,Q4,D08,Q2,D03,8810,8550,0,1000,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8810,9321,8683,,2,1,4,1,2,,,,,
